Opponent,Line,Our_Score,Their_Score,Event_Type,Act,Passer,Receiver,Defender,Player_0,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player 7,Elapsed Time (secs)
vs Thunderbirds,O,6,3,Offense,Catch,Bob,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1726
vs Thunderbirds,O,6,3,Offense,Catch,Fergus,Cullen,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1734
vs Thunderbirds,O,6,3,Offense,Catch,Cullen,Danny,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1737
vs Thunderbirds,O,6,3,Offense,Catch,Danny,Shiel,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1740
vs Thunderbirds,O,6,3,Offense,Catch,Shiel,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1745
vs Thunderbirds,O,6,3,Offense,Catch,Fergus,Shiel,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1749
vs Thunderbirds,O,6,3,Offense,Catch,Shiel,Adrian,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1753
vs Thunderbirds,O,6,3,Offense,Goal,Adrian,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1758
vs Thunderbirds,D,6,4,Defense,Pull,,,Goose,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1817
vs Thunderbirds,D,6,4,Defense,D,,,Kaufmann,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1841
vs Thunderbirds,D,6,4,Offense,Catch,Matzuka,Sheehan,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1852
vs Thunderbirds,D,6,4,Offense,Catch,Sheehan,JRob,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1859
vs Thunderbirds,D,6,4,Offense,Catch,JRob,Matzuka,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1863
vs Thunderbirds,D,6,4,Offense,Catch,Matzuka,DW,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1866
vs Thunderbirds,D,6,4,Offense,Catch,DW,Kaufmann,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1870
vs Thunderbirds,D,6,4,Offense,Catch,Kaufmann,DW,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1874
vs Thunderbirds,D,6,4,Offense,Catch,DW,JRob,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1878
vs Thunderbirds,D,6,4,Offense,Catch,JRob,Matzuka,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1882
vs Thunderbirds,D,6,4,Offense,Catch,Matzuka,Sheehan,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1886
vs Thunderbirds,D,6,4,Offense,Catch,Sheehan,Matzuka,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1890
vs Thunderbirds,D,6,4,Offense,Throwaway,Matzuka,Anonymous,,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1894
vs Thunderbirds,D,6,4,Defense,Goal,,,Anonymous,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,1930
vs Thunderbirds,O,7,4,Offense,Catch,Fergus,Bob,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1970
vs Thunderbirds,O,7,4,Offense,Catch,Bob,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1981
vs Thunderbirds,O,7,4,Offense,Catch,Fergus,Shiel,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1986
vs Thunderbirds,O,7,4,Offense,Catch,Shiel,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1990
vs Thunderbirds,O,7,4,Offense,Catch,Fergus,Shiel,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1993
vs Thunderbirds,O,7,4,Offense,Catch,Shiel,Adrian,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,1997
vs Thunderbirds,O,7,4,Offense,Catch,Adrian,Jack,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,2006
vs Thunderbirds,O,7,4,Offense,Catch,Jack,Adrian,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,2010
vs Thunderbirds,O,7,4,Offense,Drop,Adrian,Cullen,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,2014
vs Thunderbirds,O,7,4,Defense,Throwaway,,,Anonymous,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,2018
